                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.6601,                 1.1996,                 1.0511,                0.36939,                0.27907,                0.25812,                0.13948,                 1.5654,                  1.077,                 0.9689,               0.008482,               0.008482,               0.008482
                     49,                 1.6584,                 1.1923,                 1.0499,                0.38593,                0.27305,                0.25609,                0.13575,                 1.5679,                 1.0824,                0.96871,               0.008449,               0.008449,               0.008449
                     50,                  1.663,                 1.1988,                 1.0497,                0.39087,                0.29345,                0.26936,                 0.1455,                  1.541,                 1.0562,                0.96154,               0.008416,               0.008416,               0.008416
                     51,                 1.6563,                 1.1902,                  1.048,                0.36423,                0.29255,                0.25965,                0.13905,                 1.5593,                  1.068,                0.96525,               0.008383,               0.008383,               0.008383
                     52,                   1.66,                 1.1898,                 1.0478,                 0.3826,                0.28834,                0.26169,                0.14193,                 1.5531,                 1.0655,                0.96456,                0.00835,                0.00835,                0.00835
                     53,                 1.6561,                 1.1903,                 1.0465,                 0.3798,                0.28403,                0.26561,                0.14332,                 1.5492,                 1.0672,                0.96261,               0.008317,               0.008317,               0.008317
                     54,                 1.6557,                  1.185,                 1.0468,                0.40409,                0.28675,                  0.266,                0.14003,                 1.5376,                 1.0519,                0.96241,               0.008284,               0.008284,               0.008284
                     55,                 1.6485,                 1.1769,                 1.0446,                0.37912,                0.29655,                0.27165,                0.14905,                  1.532,                 1.0429,                0.95836,               0.008251,               0.008251,               0.008251
                     56,                 1.6577,                 1.1819,                  1.045,                0.40543,                0.28888,                0.27594,                0.14797,                  1.539,                 1.0498,                0.96205,               0.008218,               0.008218,               0.008218
                     57,                 1.6415,                 1.1753,                 1.0442,                 0.3872,                0.30309,                0.27731,                 0.1499,                 1.5241,                 1.0384,                0.95793,               0.008185,               0.008185,               0.008185
                     58,                 1.6503,                 1.1763,                  1.043,                0.39009,                0.30976,                0.27884,                0.14989,                  1.545,                 1.0392,                 0.9638,               0.008152,               0.008152,               0.008152
                     59,                 1.6443,                 1.1785,                 1.0443,                0.39867,                0.30024,                0.27679,                0.14819,                 1.5407,                 1.0476,                 0.9618,               0.008119,               0.008119,               0.008119
                     60,                 1.6414,                 1.1649,                 1.0414,                0.39911,                0.29494,                0.27895,                0.15199,                 1.5229,                 1.0305,                0.95639,               0.008086,               0.008086,               0.008086
                     61,                 1.6475,                  1.171,                 1.0437,                0.42033,                0.29561,                0.27928,                0.15069,                  1.536,                 1.0354,                0.95762,               0.008053,               0.008053,               0.008053
                     62,                 1.6439,                 1.1685,                 1.0431,                0.39951,                0.30114,                0.28261,                0.15218,                 1.5192,                 1.0349,                0.95538,                0.00802,                0.00802,                0.00802
                     63,                 1.6358,                 1.1599,                 1.0386,                0.40334,                0.30495,                0.28094,                0.15142,                 1.5382,                 1.0245,                0.95637,               0.007987,               0.007987,               0.007987
                     64,                 1.6328,                  1.151,                 1.0376,                0.40574,                0.30672,                0.28627,                0.15624,                 1.5122,                 1.0191,                0.95547,               0.007954,               0.007954,               0.007954
                     65,                 1.6325,                 1.1507,                 1.0353,                0.43819,                0.30826,                0.29356,                0.16023,                 1.5077,                 1.0061,                0.95341,               0.007921,               0.007921,               0.007921
                     66,                 1.6316,                 1.1482,                 1.0401,                0.43269,                0.31657,                0.30146,                 0.1655,                 1.4889,                0.98884,                0.94809,               0.007888,               0.007888,               0.007888
                     67,                 1.6408,                  1.159,                 1.0389,                 0.4348,                0.30189,                0.29687,                0.16174,                  1.522,                 1.0093,                0.95627,               0.007855,               0.007855,               0.007855
                     68,                 1.6263,                 1.1477,                 1.0364,                0.42897,                0.30705,                0.30025,                0.16223,                 1.5187,                 1.0031,                0.95498,               0.007822,               0.007822,               0.007822
                     69,                 1.6239,                 1.1369,                  1.035,                0.42139,                0.30882,                0.29664,                0.16274,                 1.5093,                  1.001,                0.95027,               0.007789,               0.007789,               0.007789
                     70,                 1.6323,                 1.1478,                 1.0367,                0.41953,                0.31427,                0.29974,                0.16511,                 1.4907,                0.99362,                0.94674,               0.007756,               0.007756,               0.007756
